C,Al,V,Cr,Mn,Fe,Co,Ni,Cu,Mo,Ti,YS,UTS,Elongation
5.20034388,43.20891045,5.989059785,5.208611565,11.26616548,1.240119112,2.150958887,6.022671146,12.97651676,2.6021346,4.136709119,1373.107274,1706.152196,7.158839062
5.200890802,42.8843252,5.08936027,5.460209413,12.0512444,0.977854892,15.58299052,0.458390833,9.966135919,1.667474575,4.137375478,854.3783672,1187.423289,525.8877461
5.202263305,42.77047888,8.276906201,5.20831586,8.607857779,1.244361847,2.252708932,5.847625074,13.81308689,2.597468967,4.178149729,1373.108698,1706.15362,7.157414812
5.213722247,42.56616942,5.214395267,0.852477517,12.26558399,1.240100115,16.47073483,0.799296162,9.955909296,1.657727654,4.134468114,504.8954845,837.9404064,875.3706288
5.22586869,42.88369983,7.591260959,5.201028857,12.26554058,1.245946446,0.534925985,6.125497761,9.776553116,2.634456734,4.257755082,853.5394063,1186.584328,526.726707
5.228733236,42.77739125,8.193540921,5.20831586,8.607857779,1.244361847,2.252518754,5.898720361,13.81308689,2.597468967,4.178149729,1373.109329,1706.154251,7.156783876
5.228766162,42.77738731,6.145515129,5.208005391,11.22979418,1.244362051,2.252532317,5.899674623,13.24409993,2.597512764,4.178147241,1373.103678,1706.1486,7.162435385
5.265537376,22.91641763,7.64027582,15.69182096,13.09713426,1.171159348,4.081117863,16.5891718,6.794590338,0.794781128,4.532668997,1776.845703,1893.34375,4.192871094
5.266599942,22.91643149,7.598900379,18.01249091,15.05713764,3.532675546,4.081147487,15.57612863,3.079774996,0.801218842,4.076323068,1288.166504,1521.361328,-31.18115234
5.266621727,22.91869397,7.598900379,18.01249091,15.05713764,3.532416475,4.081118126,15.57612863,3.079774996,0.801218842,4.0762896,1365.578125,1639.333984,-29.69604492
5.266622068,22.9174907,7.639401445,18.02397617,15.0670406,3.519843857,4.08031238,15.53403876,3.079774996,0.801218842,4.076323452,1721.850586,1848.501953,-4.318359375
5.2666543,22.96789938,7.603167482,15.3392363,13.20071654,4.005247728,4.081353862,15.56270787,6.735398347,0.652423148,4.514343924,1730.921875,1838.232422,0.624511719
5.266683552,22.96558151,7.603167482,15.42360035,13.75545528,4.005247728,4.081386093,14.85904177,6.735396321,0.790103234,4.514343924,1746.5,1855.833984,0.091552734
5.266713045,23.01778922,7.604145558,18.09066847,19.05455824,3.946850751,4.08031276,15.53409046,3.018460338,0.788564412,3.824877263,1665.515625,1852.412109,-8.552734375
5.267838684,22.96545382,7.601972444,15.42320913,13.08989696,4.005252254,4.081354389,15.5250719,6.735398353,0.790380744,4.51434386,1385.702148,1817.212891,-22.42797852
5.267937666,24.66427998,7.603926207,18.02873766,13.79812073,2.726545493,4.080300062,15.57623527,3.072934913,0.801363265,4.565820212,1427.149414,1876.892578,-22.34130859
5.335005417,41.7575252,4.846404778,1.292390841,12.35455808,1.238363763,14.17365141,0.277699648,14.02914622,2.597453324,4.186931685,1113.423756,1446.468678,266.8423571
5.340119163,42.82622171,5.116264227,1.074844687,12.05082548,0.978918922,15.34918532,0.471721648,9.966809719,2.633068035,4.227739447,1373.036624,1706.081546,7.229489132
5.41175171,23.02475216,7.635611824,15.51275146,17.44935428,4.174666739,0.040491002,15.50301284,4.075902363,0.794781221,3.834766208,1773.304688,1902.919922,3.197021484
5.423806139,22.88411561,7.601863751,20.70803862,13.07874337,7.73882159,4.081388301,15.53514328,4.525215687,0.709763546,3.841070602,1742.152344,1887.941406,-0.973876953
5.794293884,22.8811419,7.637572725,18.0048167,13.08486785,3.924962074,4.082259954,15.54575783,6.874125451,0.680230181,3.809388023,1767.916016,1874.478516,1.875
5.91764756,31.13069124,4.890743059,12.95498119,2.041520261,19.15236665,4.564832728,3.841355298,3.798527282,7.547443699,3.775922527,633.9315402,911.538962,870.0054716
5.919800254,36.53235885,7.920848809,12.94992665,2.04149944,18.52926103,4.633897474,1.337077048,4.02271269,2.164784453,3.946341435,1497.317267,1774.924688,6.61974519
5.971430988,36.53235885,7.920848809,12.90958835,2.04149944,18.52926103,4.633610009,1.337077048,4.02271269,2.164784453,3.94629248,1497.310961,1774.918383,6.626050487
5.971768487,36.53235885,7.92102573,12.91013355,2.041978932,18.51697643,4.642567406,1.334005503,4.015022738,2.164784453,3.950856682,1497.319331,1774.926752,6.617681104
5.971769484,36.5189617,7.288647073,13.08780326,2.04149944,18.52926103,4.940463661,1.255798785,4.585786448,2.164784453,3.830005025,964.2417881,1241.84921,539.6952236
5.971769484,36.53235885,6.560721298,12.90958835,2.04149944,18.52926103,4.633935536,1.335595418,3.84568072,2.164784453,3.77376922,751.6723248,1029.279747,752.2646869
5.971821449,33.90473804,7.917660688,13.23390834,2.041391342,9.941584263,7.072132362,3.757360242,10.39746479,2.037202138,3.706086354,1497.070439,1774.677861,6.866572968
5.972940433,31.06210104,7.322826891,13.24225215,2.043030763,21.0259383,7.09967879,3.841355298,4.015876381,2.151206763,3.77577336,1484.933496,1762.540918,19.00351555
5.981747052,31.12169499,6.496793655,12.92912529,2.054027122,8.192735835,7.126420742,3.840378419,10.41952923,7.622669982,3.773511256,769.8482199,1047.455642,734.0887918
5.98300712,31.13095272,4.890988069,13.07139907,1.632024607,18.46690662,4.566180846,3.840444914,1.768815097,7.527154846,3.772785637,743.584987,1021.192409,760.3520247
5.990180566,31.15413997,6.496793655,11.38012184,1.637251701,18.46664876,4.640863152,3.790117526,2.462805029,6.81686496,3.773511256,767.067193,1044.674615,736.8698187
5.991041543,31.15364461,6.999553713,11.48649596,2.042999811,18.44356222,5.626084922,3.790610052,1.770280214,6.780970061,3.682548658,974.3627531,1251.970175,529.5742586
5.991340357,31.05993807,6.519932365,11.20984765,2.046032711,20.95107816,4.641509189,3.841288803,4.695224756,7.540538077,3.775763403,676.2002903,953.8077122,827.7367214
5.991410439,33.84545215,6.519932365,13.25447043,2.046032711,21.36399142,4.68926014,3.841288803,2.45784244,2.177770816,3.776105961,642.2013648,919.8087867,861.7356469
5.99234619,31.13069124,4.890988069,12.95498119,2.067357937,18.46667284,5.462065894,3.707244033,3.840254131,7.527154846,3.77577336,642.2936439,919.9010658,861.6433678
5.992835406,33.91871809,7.329928023,12.95497657,2.043302187,9.001292116,4.696201393,3.768867575,10.51493258,7.52521212,3.70728211,864.8847259,1142.492148,639.0522858
1.730363428,47.15934402,10.2606863,1.294340078,2.061366235,5.312341784,2.212485588,18.02793637,4.643092096,1.558936663,5.753309303,1406.436093,1633.782773,3.437441706
1.974844388,47.18535379,10.28440046,1.835489565,2.124032846,5.256589981,2.2124998,14.88343256,4.664354389,4.092707081,5.481873184,1406.445873,1633.792553,3.427661795
1.987423415,47.18535379,10.28440046,1.838665617,2.124032846,5.257356225,2.2124998,14.88343256,4.664354389,4.092707081,5.479614202,1406.440455,1633.787135,3.433080235
1.997439202,47.18535379,10.28440046,1.84875438,2.124032846,5.221577559,2.11565775,14.87104445,4.670065476,4.092197879,5.479074875,1406.339894,1633.686574,3.533641165
1.997439202,47.18988876,10.25907785,1.84882697,2.121769822,5.206345785,2.21342191,14.88201617,4.668200099,4.13243653,5.480342295,1406.450061,1633.79674,3.423474452
1.998068228,47.18535379,10.28440046,1.84882697,2.124032846,5.221819607,2.212496212,14.88343256,4.6700671,4.092707081,5.479074875,1406.450016,1633.796695,3.423519578
2.000514989,47.18687847,10.25907785,1.848825826,2.220406521,5.107474054,2.21342191,14.88209776,4.670092937,4.13243653,5.480646471,1406.448422,1633.795102,3.425113161
2.000514989,47.19038621,10.25907785,1.848825826,2.220412292,5.107474054,2.21342191,14.88209776,4.670112141,4.13243653,5.480646471,1406.444889,1633.791569,3.428645872
2.924879481,46.53889853,10.28349178,1.31234099,2.060389767,3.31171921,5.118996129,14.03613051,4.66951207,4.132896386,5.481810573,1406.321361,1633.66804,3.552174423
2.924879481,46.53890067,10.41385405,1.312440254,2.060389767,3.311475733,5.118996129,14.03613051,4.666110345,4.134373445,5.481434741,1406.44928,1633.79596,3.424254726
2.94633652,47.19037673,10.26006133,1.291658755,1.976878261,3.316846235,4.689999031,14.07521299,4.63595295,4.133991795,5.481979668,1406.44959,1633.796269,3.423945577
2.946339793,47.1877501,10.26006133,1.311105576,1.972643147,3.360625942,4.673459344,14.03708808,4.63595295,4.133991838,5.481979668,1406.449298,1633.795977,3.424237609
2.946340147,47.1877501,10.26006133,1.311105576,1.972643147,3.361255992,4.673459344,14.03708808,4.061846738,4.133991838,5.481979668,1405.877817,1633.224497,3.995717887
2.946362609,47.19034034,10.26006133,1.291658755,1.976878261,3.317458089,4.689999031,14.07521299,4.63595295,4.133991795,5.481979668,1406.450191,1633.796871,3.423344026
2.946365882,47.18771371,10.26006133,1.311105576,1.972643147,3.361237796,4.673459344,14.03708808,4.63595295,4.133991838,5.481979668,1406.448696,1633.795376,3.42483916
2.946382237,47.19161876,10.26006133,1.27185177,1.972643131,3.362990118,4.673490262,14.02381952,4.670078794,1.542227639,5.740372028,1404.105831,1631.452511,5.767704263
2.947652138,47.19038433,10.2600363,1.261244493,1.972643131,3.362990118,4.673490262,14.04828824,4.670110302,4.133993506,5.481979668,1406.447483,1633.794163,3.426052322
2.947654047,47.19016034,10.26003374,1.340690237,2.023701193,3.362992526,4.681836809,14.03676704,4.669522319,4.038151222,5.535875243,1406.362911,1633.70959,3.510624554
2.947654171,47.18768891,10.28246718,1.336560961,1.974967836,3.362163587,4.681836809,14.03672593,4.669522319,4.038151222,5.481807192,1406.449841,1633.796521,3.423693723
2.948251962,47.19015521,10.26041455,1.338593946,1.972517735,3.367316826,4.681841445,14.03660214,4.645825108,4.039369,5.538833295,1406.430574,1633.777254,3.442961058
3.140712919,47.18771371,10.26006133,0.533377776,2.12245985,3.316846235,4.673352738,14.8756691,4.635966924,4.134176013,5.479148679,1406.09081,1633.43749,3.782725119
3.816061312,35.78500085,12.4495806,10.63410784,6.318557989,2.066802214,2.762399348,10.31690285,8.522004407,1.499609216,5.564613734,1447.898218,1700.415796,2.846898858
4.826412452,37.92056233,9.444461128,0.021142911,9.853698638,4.643630318,11.23745906,13.17513674,0.697668796,5.517707997,2.36195063,1359.003943,1644.31449,3.907189665
4.836381565,37.92056297,9.82437306,0.021142,9.745743679,4.643627159,11.23745947,13.17755911,0.715489761,5.519478107,2.362736852,1359.298268,1644.608815,3.612865116
4.840740146,37.92056155,9.827080689,0.023073228,9.706338473,4.643486934,11.23745928,13.20503395,0.715490252,5.519581435,2.361301734,1359.302651,1644.613198,3.608481328
4.840740146,37.92056297,9.824372069,0.021317659,9.744654139,4.643496943,11.23745929,13.17755911,0.715490252,5.517822071,2.36014352,1359.29937,1644.609917,3.611762883
4.840740146,37.92064775,9.82462159,0.021623056,9.744658282,4.643625934,11.23745947,13.17755911,0.697911923,5.519653107,2.362858725,1359.294803,1644.60535,3.616329982
4.840743854,37.92055884,9.818152336,0.021829921,9.744658282,4.643634219,11.23745945,13.17664597,0.715117333,5.519580306,2.361353852,1359.302712,1644.613258,3.60842119
4.840743869,37.92056155,9.827080689,0.023073228,9.706338473,4.643486934,11.23745945,13.20574327,0.715490252,5.519581435,2.361301734,1359.301919,1644.612466,3.609214149
4.840760838,37.92063945,9.799927572,0.021565343,5.820752022,4.643627864,11.23745947,17.09232697,0.754353095,5.517880913,2.348438934,1359.262799,1644.573346,3.648333911
4.840772117,37.92055831,9.959137804,0.016515437,9.744665184,4.643624223,11.23745947,13.17755911,0.697703531,5.519598441,2.244254553,1359.299352,1644.609899,3.611780398
4.840908176,37.92056306,9.457742851,0.020765811,9.852564387,4.643627856,11.23745906,13.31267373,0.698185416,5.517739185,2.498052515,1359.301756,1644.612303,3.609377144
4.841670292,37.92055801,9.957964754,0.020761382,9.744648548,4.64362579,11.23745947,13.20378419,0.696399242,5.519580036,2.244231294,1359.269791,1644.580338,3.641342108
4.841710651,37.92055801,9.959137804,0.016632292,9.744658282,4.64362579,11.23745947,13.17755911,0.697703531,5.519598441,2.242339866,1359.300212,1644.610759,3.610920439
4.841710651,37.92056297,9.959137804,0.016516801,9.744665066,4.64362579,11.23745947,13.17755911,0.697703531,5.519646437,2.242339866,1359.300267,1644.610814,3.610865457
4.841710651,37.92056318,9.959137804,0.016408667,9.744658282,4.64362579,11.23745947,13.17755911,0.696387917,5.519646437,2.242373063,1359.300767,1644.611314,3.61036568
4.864135057,33.95665238,9.959938352,0.000987147,5.801710591,4.643409308,11.23745947,17.09222642,4.222397406,5.518210872,2.375839691,1358.700398,1644.010945,4.210734466
4.864135057,38.32642912,9.954436918,0.021688721,5.898756133,4.643401037,11.23745946,13.32712666,4.226618253,5.518210872,2.376063188,1358.881874,1644.192421,4.029259165
5.280195115,35.96631889,12.40382271,6.751714362,4.09167885,0.000982918,2.777275853,4.276938941,20.22339496,2.928863808,5.309371941,1448.06541,1700.582988,2.679707215
5.280195115,35.96631889,12.40382271,6.751714362,4.09167885,0.000982918,2.777275853,4.276938941,20.22339496,2.928863808,5.309371941,1448.06541,1700.582988,2.679707215
5.283336866,38.60313595,12.44958168,6.778527208,6.980003518,2.073283788,2.870356137,7.981264748,8.416650822,2.983791408,5.587543237,1448.302095,1700.819673,2.443021887
5.283336866,38.60615888,12.44958168,6.778527208,6.989879492,2.073283788,2.870356137,7.981264748,8.416650822,2.983791408,5.587543237,1448.289076,1700.806654,2.456041603
5.283336866,38.63113386,12.44954791,6.768765861,7.055526573,2.065466421,2.87035597,7.981264748,8.41654167,2.963106717,5.587710963,1448.237564,1700.755142,2.507553682
5.294750382,35.73548618,12.44955092,6.815883448,7.006729405,2.065507326,2.872584048,11.24154106,8.519607904,2.432910313,5.565401083,1448.157694,1700.675272,2.587423545
5.295800797,35.73544223,12.94983348,6.768227749,6.447007011,2.083644326,2.872745921,11.38695337,8.521220709,2.422480764,5.564508034,1448.11323,1700.630808,2.631887586
5.295800797,35.78528634,12.44955133,6.769288067,6.447007011,2.083916931,2.870241755,11.38633295,8.416585276,2.977573546,5.564769256,1448.09307,1700.610648,2.652046993
5.295800797,35.73543986,12.44955133,6.768581833,7.056876032,2.066963755,2.871606612,11.37182257,8.41651269,2.39347073,5.564459692,1448.150379,1700.667958,2.594737752
5.296018138,38.75244139,12.44955116,6.769297147,7.005820654,2.063435056,2.870215229,7.886088606,8.416512225,2.958099273,5.564763986,1448.285694,1700.803272,2.45942343
5.296018138,38.75244139,12.44955116,6.769297147,7.005825211,2.063435056,2.870210988,7.883786909,8.416512225,2.958099273,5.564763986,1448.288064,1700.805642,2.457053566
5.296018214,38.75244139,12.44955116,6.769297147,6.989816433,2.063435056,2.870240283,7.883786909,8.382169462,2.972188259,5.564763986,1448.312355,1700.829934,2.432761697
5.296018229,38.75244139,12.44955133,6.769342818,7.006258398,2.063435056,2.870210988,7.883786909,8.416512225,2.959356275,5.564785812,1448.286224,1700.803803,2.458892698
5.296025015,38.75173817,12.44954963,6.750570046,7.005952873,2.068535414,2.870352496,7.883786909,8.416511295,2.958098014,5.564738466,1448.30234,1700.819918,2.44277758
5.296025017,38.81786398,12.4495479,6.768765193,7.00622725,2.065388241,2.870206756,7.741819355,8.416509513,2.963106717,5.587981478,1448.307317,1700.824895,2.437800449
5.296036729,35.73507618,12.4410018,6.768227749,6.447007011,3.763774332,2.86637195,11.38695337,8.521229734,2.422480764,5.564508034,1446.915792,1699.43337,3.829324823
5.296169751,38.81786398,12.4495479,6.768765861,7.006239937,2.065466421,2.870357701,7.734255749,8.422937176,2.963076815,5.588656203,1448.307232,1700.82481,2.437884984
5.296205684,38.82381867,12.4495479,6.408816301,7.006189366,2.073332834,2.870352981,7.978043192,8.416509513,2.963106717,5.587981478,1448.197247,1700.714825,2.547870581
5.774910357,52.08703652,4.856329777,10.29854206,9.345260994,1.367592019,2.162233767,6.954370542,0.196943227,5.745803141,0.966666684,1726.777344,1865.320313,-0.654052734
5.78147747,56.13190413,4.646907227,10.156678,9.872076585,1.364083481,2.162023366,6.93979893,0.193648281,5.781419177,0.525833972,1750.294922,1867.105469,0.121826172
5.786960267,52.0974897,3.151095676,2.412381063,9.341963264,1.373431704,2.161209445,6.955136407,0.303444319,5.784079638,0.975835368,1751.257813,1868.714844,0.105712891
5.797273139,52.10481315,4.830135823,9.794149426,9.895220945,1.36751328,2.138427868,7.151579593,0.260735596,5.741152676,0.975877381,1741.697266,1858.923828,0.438476563
5.804698293,52.0974897,4.646907227,10.13453375,9.879411561,1.373431704,2.162017559,6.955169928,0.19604881,5.783765399,0.975835368,1744.181641,1867.509766,-0.11328125
5.934561125,52.09247949,4.939821639,10.26306561,9.894540758,1.341709199,2.138137848,6.942046485,0.260735596,5.538250469,0.656407257,1428.495117,1772.642578,-13.06835938
5.934563297,52.08678123,4.767721609,10.31312897,9.875716095,1.344116323,2.097156854,6.939691615,0.194622036,5.786282363,0.654823938,1745.556641,1865.583984,0.208251953
5.935039902,51.84740141,2.608957456,2.689645815,9.428964168,0.776175548,2.144711424,7.07384572,7.170356726,5.621194175,0.648837522,1702.650391,1863.318359,-3.435791016
5.935041921,51.84740141,2.608957456,2.689645815,13.46340575,0.797330428,2.144711424,7.074369265,7.170356726,5.621194175,0.648837522,1702.666016,1855.470703,-2.948242188
5.935047017,51.84729255,2.610616153,2.689648554,13.46021002,0.798698442,2.14389349,6.94253823,7.174419145,5.743540716,0.649709416,1593.946289,1783.529297,-3.476074219
5.93505884,51.84738048,2.610558341,2.689645829,13.46320172,0.781266154,2.144328184,7.078114391,7.169247243,5.631587423,0.649714148,1708.327148,1838.556641,-3.518310547
5.935119933,52.14549663,2.610658911,2.693253723,13.29882054,0.766619792,2.144327428,6.939465072,7.046300578,5.745701933,0.648499337,1702.088867,1807.261719,1.907714844
5.935560749,56.16974277,2.60947577,2.689639202,9.383780085,0.78165042,2.14469919,6.945368337,7.170342587,5.636301467,0.535655188,1562.011719,1717.453125,-12.77050781
5.935587559,52.08653245,4.83045525,9.794149426,9.895276706,1.374080234,2.162443239,6.953798496,0.260735596,5.73965165,0.96625844,1731.125,1863.128906,-2.767089844
5.935589853,51.8392008,2.610558341,2.689641554,13.40472939,0.781266154,2.144712276,7.076210288,7.174446741,5.743466236,0.651933114,1738.588867,1848.667969,-1.174804688
5.935592326,56.01661613,2.610477226,2.689576354,9.396037734,0.805747288,2.144511364,6.939759911,7.17314862,5.781410324,0.503648228,1742.037109,1863.580078,-0.505126953
5.935592326,56.16974733,2.60947577,2.689576666,9.383799824,0.777249406,2.139627836,6.945368407,7.170416915,5.636348007,0.535965662,1504.161133,1852.994141,-14.61279297
5.935649651,52.09710264,4.83045525,9.794149426,9.895220945,1.374080234,2.144301793,6.954025516,0.260735596,5.743642995,0.966927217,1736.548828,1865.849609,-0.951660156
1.619292418,43.35407503,1.107607807,5.324869123,16.26306749,3.22535699,15.57588726,3.834748743,1.821826068,1.973875153,5.905790761,1418.519079,1697.001501,4.478479435
1.622391187,43.35407505,1.102570912,5.323894116,16.2776619,3.225458914,15.57588726,3.834842097,1.805939136,1.973896837,5.905779556,1418.523405,1697.005827,4.474153624
1.626484752,42.42037498,2.000575246,5.35605785,16.30051795,3.225401899,15.57588726,3.83474882,1.80678382,1.974071341,5.866106456,1418.476396,1696.958818,4.521162871
1.626484752,42.42037599,2.000575246,5.35605785,16.30043606,3.225401899,15.57588726,3.83474882,1.806745333,1.974071341,5.866106456,1418.476279,1696.958701,4.521279302
1.627652141,42.42043881,2.000434761,8.336201848,16.30043606,0.240056378,15.57588726,3.834725123,1.822020199,1.974240112,5.864490896,1418.50152,1696.983942,4.496038322
1.627652141,42.42043881,2.000566212,8.336201848,16.30025393,0.242542136,15.57588726,3.834723819,1.822020199,1.974240112,5.864488912,1418.503897,1696.986319,4.49366184
1.627707868,43.37361843,1.107607807,5.231800431,16.27814575,3.25838823,15.57588726,3.83474848,1.806158741,1.973896712,5.905790761,1418.501009,1696.98343,4.496550066
1.62807139,46.48254048,1.15046243,5.320255592,16.05788258,0.268869467,15.57588726,3.834749678,1.821863027,1.973875685,5.835502394,1418.532091,1697.014513,4.46546736
1.628525195,42.42044574,2.000441934,8.332722467,16.30043606,0.240065265,15.57588726,3.834748902,1.82185962,1.974261094,5.864491766,1418.498903,1696.981324,4.498655975
1.638693186,42.42042837,2.00056381,8.507413032,16.28790253,0.100345873,15.57588726,3.834725106,1.822020199,1.975032129,5.836524639,1418.504857,1696.987279,4.492701223
1.848611851,43.36920234,1.099961329,5.324889091,16.05788256,3.225353012,15.57588726,3.827755895,1.779959315,1.973875165,5.916143907,1418.53534,1697.017761,4.462218996
1.848615333,43.35407505,1.102068482,5.32390393,16.05788256,3.225350583,15.57588726,3.83483389,1.782325583,1.973875321,5.915634917,1418.529561,1697.011983,4.467997843
1.848631906,43.35407505,1.102871456,5.323897555,16.05831583,3.225350497,15.57588726,3.834839089,1.782066539,1.975013619,5.916145152,1418.532132,1697.014554,4.465426819
1.849010234,43.35407505,1.102625565,5.32390393,16.05833154,3.225350497,15.57588726,3.834839089,1.782049439,1.973875317,5.92129477,1418.533904,1697.016326,4.463654487
1.86369508,42.38995414,2.008132003,8.51351224,16.06513288,0,15.57588726,3.764645406,1.821719339,1.973878761,5.915692508,1418.410104,1696.892526,4.587454254
1.86369508,43.35407505,1.140426617,5.323894116,16.06472404,3.221522405,15.57588726,3.834839089,1.821719339,1.973875165,5.834703487,1418.523724,1697.006146,4.473834445
