Al,Co,Cr,Cu,Fe,Mg,Mn,Ni,Si,Ti,V,Zn,YS,UTS,Elongation
91.70964539,0,0,1.041428448,0.000682563,3.500839304,2.04E-06,1.94E-05,4.56E-05,0.002415471,0.003238553,3.82972924,520.0154809,609.7638816,-16.76667803
91.74638001,0,0,0.923669313,0.000513232,3.431229061,0,0.000164909,7.93E-06,0.004652342,0.002432846,3.829729201,121.3000926,212.5367799,373.2446508
91.74812063,0,0,0.923895358,0.002674847,3.431229061,0,8.00E-06,7.72E-06,0.000183382,0.002481552,3.829729201,120.1447013,211.3813886,374.4000422
91.79063837,0,0,0.925241745,0.001600195,3.419514248,3.62E-07,0.004067515,5.00E-05,0.001481252,0.002786593,3.82972924,519.0960664,611.1792319,-17.24860333
91.79521586,0,0,0.699244473,0.001568339,3.422638444,2.04E-06,5.70E-06,0.000285781,0.002331106,0.003243668,3.82972924,515.7760674,605.9541899,-17.69899356
91.79953114,0,0,0.925241745,0.001607524,3.424317307,3.61E-07,0.003983106,0.000346387,0.004402091,0.002786617,3.82972924,519.193811,611.6010926,-16.98422413
91.80140051,0,2.66E-08,0.917070157,2.01E-05,2.772055287,9.14E-07,0,8.96E-05,0.005443136,0.002807738,3.829729216,55.3271556,131.3182703,418.4986783
91.81921132,0,4.78E-10,0.920264665,0.007774181,3.393294287,1.12E-05,0.002455799,1.61E-05,0.005266777,0.002804041,3.82972924,101.3258895,177.3170042,372.4999443
91.8209921,0,2.12E-08,0.916232749,8.99E-05,3.420645887,6.02E-12,0.002235574,1.45E-05,0.00336074,0.002738824,3.829729214,100.8866416,176.8777563,372.9391923
91.82938779,0,4.17E-08,0.918729147,0.007752801,3.420645887,1.08E-05,0,0.000112919,0.003341961,0.001499908,3.829729216,100.7868142,176.7779288,373.0390197
91.83513277,0,0,0.940386888,0.002055426,3.405897139,0.000117682,0.00460318,0.000356525,0.00132634,0.002790222,3.829718621,111.9707952,206.3815282,373.3449609
91.83576494,0,2.06E-09,0.92576556,3.10E-05,3.418973661,1.15E-05,0.002478719,0.000135196,0.000358396,0.002802899,3.829729235,99.9718533,175.962968,373.8539806
