Al,C,Co,Cr,Cu,Fe,Mg,Mn,Mo,Ni,Si,Ti,V,Zn
29.08,5.94,4.56,12.94,4.06,19.14,1.02,2.04,7.54,3.84,0,3.76,4.88,1.2
33.68,5.94,4.62,12.94,4.3,18.52,1.24,2.04,2.16,1.32,0,3.94,7.92,1.38
33.48,6.02,4.62,12.9,4.4,18.52,1.3,2.04,2.16,1.32,0,3.94,7.92,1.38
33.62,6.04,4.62,12.9,4.32,18.5,1.24,2.04,2.16,1.32,0,3.94,7.92,1.38
34.36,5.98,4.94,13.08,5,18.52,0.32,2.04,2.16,1.24,0,3.82,7.28,1.26
35.28,6.02,4.62,12.9,4.18,18.52,1.2,2.04,2.16,1.32,0,3.76,6.56,1.44
32.14,6.02,7.06,13.22,10.76,9.92,0.3,2.04,2.02,3.74,0,3.7,7.9,1.18
27.14,6,7.08,13.24,4.26,21.02,1.04,2.04,2.14,3.84,0,3.76,7.32,1.12
29.14,6.02,7.12,12.92,10.62,8.18,1.06,2.04,7.62,3.84,0,3.76,6.48,1.2
31.8,6.02,4.56,13.06,2.1,18.46,1.06,1.62,7.52,3.84,0,3.76,4.88,1.32
31.78,6.04,4.62,11.38,2.78,18.46,1.18,1.62,6.8,3.78,0,3.76,6.48,1.32
30.74,6.02,5.62,11.48,2.06,18.44,1.12,2.04,6.78,3.78,0,3.68,6.98,1.26
26.58,6.02,4.62,11.2,4.96,20.94,0.9,2.04,7.54,3.84,0,3.76,6.5,1.1
31.22,6.04,4.66,13.24,2.74,21.36,1.16,2.04,2.16,3.84,0,3.76,6.5,1.28
28.84,6.04,5.46,12.94,4.12,18.46,1.04,2.06,7.52,3.7,0,3.76,4.88,1.18
29.88,6.02,4.66,12.94,10.8,9,1.12,2.04,7.52,3.76,0,3.7,7.32,1.24
43.3,1.76,2.2,1.28,5.12,5.3,1.62,2.06,1.54,18.02,0,5.74,10.26,1.8
43.4,2,2.2,1.82,5.12,5.24,1.58,2.12,4.08,14.88,0,5.48,10.28,1.8
43.44,2.04,2.2,1.82,5.02,5.24,1.62,2.12,4.08,14.88,0,5.46,10.28,1.8
43.54,2.02,2.1,1.84,5.08,5.22,1.6,2.12,4.08,14.86,0,5.46,10.28,1.8
44.62,2.02,2.2,1.84,5,5.2,0.5,2.12,4.12,14.88,0,5.48,10.24,1.78
44.52,2.02,2.2,1.86,5.16,5.22,0.4,2.12,4.08,14.88,0,5.46,10.28,1.8
44.5,2.04,2.2,1.84,5.12,5.1,0.52,2.22,4.12,14.88,0,5.48,10.24,1.74
43.68,2.04,2.2,1.84,5.06,5.1,1.4,2.22,4.12,14.88,0,5.48,10.24,1.74
42.92,2.96,5.1,1.3,5.08,3.3,1.6,2.06,4.12,14.02,0,5.48,10.28,1.78
42.8,2.94,5.1,1.3,5.08,3.3,1.62,2.06,4.12,14.02,0,5.48,10.4,1.78
43.54,3,4.66,1.28,4.98,3.3,1.6,1.96,4.12,14.06,0,5.48,10.26,1.76
43.42,2.98,4.66,1.3,5.04,3.36,1.6,1.96,4.12,14.02,0,5.48,10.26,1.8
43.94,2.98,4.66,1.3,4.5,3.36,1.6,1.96,4.12,14.02,0,5.48,10.26,1.82
43.32,3,4.66,1.28,5.14,3.3,1.62,1.96,4.12,14.06,0,5.48,10.26,1.8
43.12,3,4.66,1.3,5.3,3.36,1.62,1.96,4.12,14.02,0,5.48,10.26,1.8
45.52,3,4.66,1.26,5.1,3.36,1.7,1.96,1.54,14.02,0,5.74,10.26,1.88
43.46,2.96,4.66,1.26,5.1,3.36,1.54,1.96,4.12,14.04,0,5.48,10.26,1.8
43.32,3,4.66,1.34,5.08,3.36,1.6,2.02,4.02,14.02,0,5.52,10.26,1.8
43.42,3,4.66,1.32,5.08,3.36,1.6,1.96,4.02,14.02,0,5.48,10.28,1.8
43.42,3,4.66,1.32,5.06,3.36,1.6,1.96,4.02,14.02,0,5.52,10.26,1.8
43.24,3.18,4.66,0.52,5.04,3.3,1.46,2.12,4.12,14.86,0,5.46,10.26,1.78
33.22,3.82,2.76,10.62,8.84,2.06,1.22,6.3,1.48,10.3,0,5.56,12.44,1.38
36.18,4.92,11.22,0.04,0.98,4.62,0.32,9.84,5.5,13.16,0,2.34,9.42,1.46
34.96,4.9,11.22,0.02,1.04,4.62,1.24,9.74,5.5,13.16,0,2.34,9.82,1.44
34.94,4.92,11.22,0.02,1.04,4.62,1.24,9.7,5.5,13.2,0,2.34,9.82,1.44
35.86,4.94,11.22,0.04,1,4.62,0.32,9.74,5.5,13.16,0,2.34,9.82,1.44
35.94,4.92,11.22,0.04,1.02,4.62,0.3,9.74,5.5,13.16,0,2.34,9.82,1.38
35.88,4.94,11.22,0.04,1.02,4.62,0.3,9.74,5.5,13.16,0,2.34,9.8,1.44
36.06,4.94,11.22,0.04,0.94,4.62,0.3,9.7,5.5,13.2,0,2.34,9.82,1.32
35.88,4.94,11.22,0.04,1.08,4.62,0.3,5.82,5.5,17.08,0,2.32,9.76,1.44
35.96,4.92,11.22,0.02,1.02,4.62,0.24,9.74,5.5,13.16,0,2.24,9.92,1.44
35.98,4.94,11.22,0.04,0.98,4.62,0.3,9.84,5.5,13.3,0,2.48,9.42,1.38
35.8,4.94,11.22,0.04,1.04,4.62,0.32,9.74,5.5,13.2,0,2.24,9.92,1.42
35.96,4.92,11.22,0,0.88,4.62,0.46,9.74,5.5,13.16,0,2.24,9.92,1.38
35.8,4.9,11.22,0,1.02,4.62,0.44,9.74,5.5,13.16,0,2.24,9.92,1.44
35.74,4.92,11.22,0,1.02,4.62,0.48,9.74,5.5,13.16,0,2.24,9.92,1.44
32.3,4.96,11.22,0,4.52,4.62,0.44,5.8,5.5,17.08,0,2.34,9.92,1.3
35.74,4.96,11.22,0.02,4.54,4.62,0.5,5.88,5.5,13.32,0,2.34,9.92,1.44
33.98,5.34,2.76,6.74,20.56,0,0.4,4.08,2.92,4.24,0,5.3,12.4,1.28
33.9,5.34,2.76,6.74,20.5,0,0.46,4.08,2.92,4.24,0,5.3,12.4,1.36
36.38,5.34,2.86,6.78,8.84,2.06,0.32,6.98,2.98,7.98,0,5.58,12.44,1.46
36.42,5.34,2.86,6.78,8.8,2.06,0.32,6.98,2.98,7.98,0,5.58,12.44,1.46
36.38,5.32,2.86,6.76,8.74,2.06,0.46,7.04,2.96,7.98,0,5.58,12.44,1.42
33.7,5.34,2.86,6.8,8.8,2.06,0.42,7,2.42,11.24,0,5.56,12.44,1.36
33.7,5.34,2.86,6.78,8.86,2.08,0.3,6.44,2.42,11.38,0,5.56,12.94,1.34
33.7,5.34,2.86,6.76,8.72,2.08,0.42,6.44,2.96,11.38,0,5.56,12.44,1.34
33.74,5.34,2.86,6.76,8.72,2.06,0.4,7.04,2.36,11.36,0,5.56,12.44,1.36
36.56,5.32,2.86,6.76,8.68,2.06,0.48,7,2.94,7.88,0,5.56,12.44,1.46
36.56,5.32,2.86,6.78,8.8,2.06,0.32,7,2.94,7.88,0,5.56,12.44,1.48
36.58,5.32,2.86,6.76,8.66,2.06,0.46,6.98,2.96,7.88,0,5.56,12.44,1.48
36.56,5.32,2.86,6.76,8.68,2.06,0.46,7,2.94,7.88,0,5.56,12.44,1.48
36.6,5.3,2.86,6.76,8.74,2.06,0.38,7,2.94,7.88,0,5.56,12.44,1.48
36.7,5.34,2.86,6.78,8.78,2.06,0.3,7,2.96,7.74,0,5.58,12.44,1.46
32.62,5.34,2.86,6.78,8.88,3.76,0.24,6.44,2.42,11.38,0,5.56,12.44,1.28
36.7,5.32,2.86,6.78,8.84,2.06,0.28,7,2.96,7.72,0,5.58,12.44,1.46
36.84,5.32,2.86,6.42,8.78,2.06,0.3,7,2.96,7.96,0,5.58,12.44,1.48
49.48,5.8,2.16,10.32,0.68,1.36,0.4,9.34,5.74,6.94,0,0.96,4.84,1.98
49.7,5.86,2.16,10.18,0.64,1.36,0.42,9.84,5.78,6.92,0,0.52,4.62,2
58.26,5.84,2.16,2.42,0.84,1.36,0.6,9.34,5.78,6.94,0,0.96,3.14,2.36
49.28,5.84,2.12,9.82,0.68,1.36,0.4,9.88,5.74,7.14,0,0.96,4.82,1.96
49.26,5.88,2.16,10.12,0.56,1.36,0.56,9.84,5.78,6.94,0,0.96,4.62,1.96
49.26,6,2.12,10.28,0.7,1.34,0.42,9.88,5.52,6.94,0,0.64,4.92,1.98
49.28,6.02,2.08,10.34,0.56,1.34,0.48,9.84,5.78,6.92,0,0.64,4.74,1.98
52.86,5.96,2.14,2.72,7.6,0.76,0.5,9.42,5.62,7.06,0,0.64,2.6,2.12
49.04,5.96,2.14,2.7,7.64,0.78,0.42,13.46,5.62,7.06,0,0.64,2.6,1.94
49.02,5.96,2.14,2.7,7.66,0.78,0.42,13.46,5.74,6.94,0,0.64,2.6,1.94
49.04,5.96,2.14,2.72,7.6,0.78,0.42,13.46,5.62,7.06,0,0.64,2.6,1.96
49.36,5.98,2.14,2.72,7.46,0.76,0.42,13.28,5.74,6.92,0,0.64,2.6,1.98
53.14,5.96,2.14,2.7,7.64,0.78,0.48,9.38,5.62,6.94,0,0.52,2.6,2.1
49.3,5.96,2.16,9.8,0.7,1.36,0.44,9.88,5.72,6.94,0,0.96,4.82,1.96
49.02,5.96,2.14,2.7,7.62,0.78,0.44,13.4,5.74,7.06,0,0.64,2.6,1.9
53.02,5.96,2.14,2.7,7.66,0.8,0.48,9.38,5.78,6.92,0,0.5,2.6,2.06
53.2,5.96,2.12,2.7,7.58,0.76,0.5,9.38,5.62,6.94,0,0.52,2.6,2.12
49.3,5.96,2.14,9.8,0.8,1.36,0.38,9.88,5.74,6.94,0,0.96,4.82,1.92
41.04,1.64,15.56,5.34,2.16,3.22,0.38,16.26,1.96,3.82,0,5.9,1.1,1.62
41.04,1.66,15.56,5.34,2.14,3.22,0.38,16.26,1.96,3.82,0,5.9,1.1,1.62
